Unnamed: 0,from_author,from_author_name,from_author_gender,to_author,to_author_name,to_author_gender,year,times
104,57298903,lawson k savery,majority,2155975778,laurence j peter,minority,1998,1
110,2313133696,rita m choy,minority,2155975778,laurence j peter,minority,1998,1
138,57298903,lawson k savery,majority,2123252364,raymond hull,majority,1998,1
144,2313133696,rita m choy,minority,2123252364,raymond hull,majority,1998,1
25555,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1987,1
25556,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1988,1
25557,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1991,1
25558,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1994,1
25559,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1995,3
25560,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1997,1
25561,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,1999,1
25562,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,2004,2
25563,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,2014,1
25564,1970367484,cary l cooper,minority,1970367484,cary l cooper,minority,2016,2
25586,2111773694,steven h appelbaum,majority,1970367484,cary l cooper,minority,2003,1
25587,2343814807,patrick gunnigle,majority,1970367484,cary l cooper,minority,2000,1
25602,1996474448,paul sparrow,majority,1970367484,cary l cooper,minority,2002,1
25603,1996474448,paul sparrow,majority,1970367484,cary l cooper,minority,2009,1
25640,2344217343,aneil k mishra,majority,1970367484,cary l cooper,minority,2004,1
25658,1980955998,hugh scullion,majority,1970367484,cary l cooper,minority,2015,1
25730,180551364,keith w glaister,majority,1970367484,cary l cooper,minority,2011,1
25791,207541774,kamel mellahi,majority,1970367484,cary l cooper,minority,2014,1
25792,207541774,kamel mellahi,majority,1970367484,cary l cooper,minority,2016,1
25903,2289568242,david g collings,majority,1970367484,cary l cooper,minority,2014,1
25904,2289568242,david g collings,majority,1970367484,cary l cooper,minority,2018,1
26177,2211668081,shlomo y tarba,majority,1970367484,cary l cooper,minority,2011,1
26178,2211668081,shlomo y tarba,majority,1970367484,cary l cooper,minority,2014,1
26179,2211668081,shlomo y tarba,majority,1970367484,cary l cooper,minority,2016,7
26180,2211668081,shlomo y tarba,majority,1970367484,cary l cooper,minority,2017,2
26181,2211668081,shlomo y tarba,majority,1970367484,cary l cooper,minority,2019,1
26182,2211668081,shlomo y tarba,majority,1970367484,cary l cooper,minority,2020,5
26305,2311109687,mohammad faisal ahammad,majority,1970367484,cary l cooper,minority,2011,1
26306,2311109687,mohammad faisal ahammad,majority,1970367484,cary l cooper,minority,2016,3
26307,2311109687,mohammad faisal ahammad,majority,1970367484,cary l cooper,minority,2019,1
32840,2613556465,michel e domsch,majority,2613556465,michel e domsch,majority,1984,1
32841,2613556465,michel e domsch,majority,2613556465,michel e domsch,majority,1985,1
32842,2613556465,michel e domsch,majority,2613556465,michel e domsch,majority,1987,1
32845,2344445818,torsten j gerpott,majority,2613556465,michel e domsch,majority,1984,1
32846,2344445818,torsten j gerpott,majority,2613556465,michel e domsch,majority,1985,1
32847,2344445818,torsten j gerpott,majority,2613556465,michel e domsch,majority,1987,1
32851,57298903,lawson k savery,majority,2613556465,michel e domsch,majority,1998,1
32870,2313133696,rita m choy,minority,2613556465,michel e domsch,majority,1998,1
32874,2172294833,patrick chang boon lee,majority,2613556465,michel e domsch,majority,2003,1
43141,1970367484,cary l cooper,minority,217461061,noel m tichy,majority,1994,1
43142,1970367484,cary l cooper,minority,217461061,noel m tichy,majority,2002,1
43143,1970367484,cary l cooper,minority,217461061,noel m tichy,majority,2004,2
43148,217461061,noel m tichy,majority,217461061,noel m tichy,majority,1982,1
43149,217461061,noel m tichy,majority,217461061,noel m tichy,majority,1988,1
43150,217461061,noel m tichy,majority,217461061,noel m tichy,majority,1990,1
43160,2293144314,richard w beatty,majority,217461061,noel m tichy,majority,1991,1
43180,1952078778,manuel london,majority,217461061,noel m tichy,majority,1998,2
43223,94365740,mary anne devanna,minority,217461061,noel m tichy,majority,1990,1
43224,2343814807,patrick gunnigle,majority,217461061,noel m tichy,majority,1994,1
43225,2343814807,patrick gunnigle,majority,217461061,noel m tichy,majority,2000,1
43226,2343814807,patrick gunnigle,majority,217461061,noel m tichy,majority,2002,1
43227,2343814807,patrick gunnigle,majority,217461061,noel m tichy,majority,2006,1
43228,2343814807,patrick gunnigle,majority,217461061,noel m tichy,majority,2015,1
43256,57298903,lawson k savery,majority,217461061,noel m tichy,majority,1998,1
43279,1996474448,paul sparrow,majority,217461061,noel m tichy,majority,1987,1
43280,1996474448,paul sparrow,majority,217461061,noel m tichy,majority,1998,1
43397,2136489993,brian e becker,majority,217461061,noel m tichy,majority,1999,1
43399,2106666900,adrian john wilkinson,majority,217461061,noel m tichy,majority,1995,1
43400,2106666900,adrian john wilkinson,majority,217461061,noel m tichy,majority,2014,1
43458,1980955998,hugh scullion,majority,217461061,noel m tichy,majority,2000,1
43459,1980955998,hugh scullion,majority,217461061,noel m tichy,majority,2013,1
43472,1764289251,paul m swiercz,majority,217461061,noel m tichy,majority,1992,2
43473,2157846728,marjorie l icenogle,minority,217461061,noel m tichy,majority,1992,2
43507,1936188603,paul teague,majority,217461061,noel m tichy,majority,1994,1
43508,1936188603,paul teague,majority,217461061,noel m tichy,majority,2011,1
43537,2128251712,a thornhill,majority,217461061,noel m tichy,majority,1998,1
43598,59350411,mark a huselid,majority,217461061,noel m tichy,majority,1999,1
43621,673695052,paula caligiuri,minority,217461061,noel m tichy,majority,1995,1
43622,673695052,paula caligiuri,minority,217461061,noel m tichy,majority,1998,1
43662,2674033142,diana winstanley,minority,217461061,noel m tichy,majority,1996,1
43680,2136927107,mark n k saunders,majority,217461061,noel m tichy,majority,1998,1
43681,2136927107,mark n k saunders,majority,217461061,noel m tichy,majority,2010,1
43692,2806342673,rozhan othman,minority,217461061,noel m tichy,majority,1996,1
43693,2806342673,rozhan othman,minority,217461061,noel m tichy,majority,2000,1
43694,2806342673,rozhan othman,minority,217461061,noel m tichy,majority,2001,1
43794,2313133696,rita m choy,minority,217461061,noel m tichy,majority,1998,1
43907,207541774,kamel mellahi,majority,217461061,noel m tichy,majority,2010,1
43950,2159025027,david preece,majority,217461061,noel m tichy,majority,2010,1
43951,2159025027,david preece,majority,217461061,noel m tichy,majority,2011,1
44091,2289568242,david g collings,majority,217461061,noel m tichy,majority,2006,1
44092,2289568242,david g collings,majority,217461061,noel m tichy,majority,2010,1
44121,296968206,dana minbaeva,minority,217461061,noel m tichy,majority,2005,1
44357,2158425250,saba colakoglu,minority,217461061,noel m tichy,majority,2016,1
44446,2313073389,jessica li,minority,217461061,noel m tichy,majority,2010,1
44504,2211668081,shlomo y tarba,majority,217461061,noel m tichy,majority,2019,1
44536,2007431831,xin chuai,minority,217461061,noel m tichy,majority,2010,1
44537,2007431831,xin chuai,minority,217461061,noel m tichy,majority,2011,1
44542,2793371291,paul iles,majority,217461061,noel m tichy,majority,2010,1
44543,2793371291,paul iles,majority,217461061,noel m tichy,majority,2011,1
44579,1964753014,marco guerci,majority,217461061,noel m tichy,majority,2013,1
44652,2311109687,mohammad faisal ahammad,majority,217461061,noel m tichy,majority,2019,1
56549,1970367484,cary l cooper,minority,2293144314,richard w beatty,majority,2015,1
56550,2128215546,kim s cameron,minority,2293144314,richard w beatty,majority,1994,1
56551,1952078778,manuel london,majority,2293144314,richard w beatty,majority,1993,1
56552,2132754833,william j bruns,majority,2293144314,richard w beatty,majority,1994,1
56553,2055193450,bilha mannheim,minority,2293144314,richard w beatty,majority,1996,1
56554,2343814807,patrick gunnigle,majority,2293144314,richard w beatty,majority,2016,1
56555,57298903,lawson k savery,majority,2293144314,richard w beatty,majority,1998,1
56556,1996474448,paul sparrow,majority,2293144314,richard w beatty,majority,2015,1
56557,2111760175,barry smith,majority,2293144314,richard w beatty,majority,1996,1
56558,2166611424,richard w beatty,majority,2293144314,richard w beatty,majority,1993,1
56559,2617150564,michael useem,majority,2293144314,richard w beatty,majority,1993,1
56560,2136489993,brian e becker,majority,2293144314,richard w beatty,majority,2006,1
56561,2106666900,adrian john wilkinson,majority,2293144314,richard w beatty,majority,2010,1
56562,2344217343,aneil k mishra,majority,2293144314,richard w beatty,majority,1994,1
56563,1980955998,hugh scullion,majority,2293144314,richard w beatty,majority,2010,1
56564,1764289251,paul m swiercz,majority,2293144314,richard w beatty,majority,1992,1
56565,2157846728,marjorie l icenogle,minority,2293144314,richard w beatty,majority,1992,1
56566,2780577359,sharon m mckinnon,minority,2293144314,richard w beatty,majority,1994,1
56567,2262121549,james b shaw,majority,2293144314,richard w beatty,majority,1996,1
56568,2242377896,john k christiansen,majority,2293144314,richard w beatty,majority,2010,1
56569,1936188603,paul teague,majority,2293144314,richard w beatty,majority,2014,1
56570,2135049179,karen e mishra,minority,2293144314,richard w beatty,majority,1994,1
56571,2128251712,a thornhill,majority,2293144314,richard w beatty,majority,1998,1
56572,2158447491,william k roche,majority,2293144314,richard w beatty,majority,2014,1
56573,59350411,mark a huselid,majority,2293144314,richard w beatty,majority,2006,1
56574,673695052,paula caligiuri,minority,2293144314,richard w beatty,majority,2010,1
56575,2674033142,diana winstanley,minority,2293144314,richard w beatty,majority,1997,1
56576,2136927107,mark n k saunders,majority,2293144314,richard w beatty,majority,1998,1
56577,2806342673,rozhan othman,minority,2293144314,richard w beatty,majority,2014,1
56578,2094811496,greg hearn,majority,2293144314,richard w beatty,majority,1996,1
56579,2237768912,anna close,minority,2293144314,richard w beatty,majority,1996,1
56580,2569076767,greg southey,majority,2293144314,richard w beatty,majority,1996,1
56581,180551364,keith w glaister,majority,2293144314,richard w beatty,majority,2015,1
56583,2204449376,clive gilson,majority,2293144314,richard w beatty,majority,1996,1
56584,2763280628,zehava rosenblatt,minority,2293144314,richard w beatty,majority,1996,1
56585,204271697,elain barrettpower,minority,2293144314,richard w beatty,majority,1996,1
56586,55518253,andreas werr,majority,2293144314,richard w beatty,majority,2017,1
56587,2396216455,dirk buyens,majority,2293144314,richard w beatty,majority,2002,1
56588,2242409178,gracie ebadan,minority,2293144314,richard w beatty,majority,1997,1
56589,1888205315,eric molleman,majority,2293144314,richard w beatty,majority,2003,1
56590,2313133696,rita m choy,minority,2293144314,richard w beatty,majority,1998,1
56591,2530969626,terry h wagar,majority,2293144314,richard w beatty,majority,2009,1
56592,207541774,kamel mellahi,majority,2293144314,richard w beatty,majority,2010,1
56593,2159025027,david preece,majority,2293144314,richard w beatty,majority,2010,1
56594,2159025027,david preece,majority,2293144314,richard w beatty,majority,2011,1
56595,2208199671,koen dewettinck,majority,2293144314,richard w beatty,majority,2002,1
56596,1497110822,alan clardy,majority,2293144314,richard w beatty,majority,2008,1
56597,2703597616,hugo timmerman,majority,2293144314,richard w beatty,majority,2003,1
56598,2090059098,luca solari,majority,2293144314,richard w beatty,majority,2012,1
56599,1967804019,adrian ritz,majority,2293144314,richard w beatty,majority,2011,1
56600,2289568242,david g collings,majority,2293144314,richard w beatty,majority,2010,1
56601,2289568242,david g collings,majority,2293144314,richard w beatty,majority,2013,1
